Title,description,authors,publisher,publishedDate,categories,ratingsCount
Economics in one lesson,"With over a million copies sold, Economics in One Lesson is an essential guide to the basics of economic theory. A fundamental influence on modern libertarianism, Hazlitt defends capitalism and the free market from economic myths that persist to this day. Considered among the leading economic thinkers of the “Austrian School,” which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of The Freeman magazine, an influential libertarian publication. Hazlitt wrote Economics in One Lesson, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy. Economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of Economics in One Lesson. Hazlitt’s focus on non-governmental solutions, strong — and strongly reasoned — anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make Economics in One Lesson every bit as relevant and valuable today as it has been since publication.",Henry Hazlitt,Currency,2010-08-11,Business & Economics,18.0
King Rat,"Japanese POW camp Changi, Singapore: hell on earth for the soldiers contained within its barbed wire walls. Officers and enlisted men, all prisoners together, yet the old hierarchies and rivalries survive. An American corporal, known as the King, has used his personality and wiles to facilitate trading with guards and locals to get needed food, supplies, even information into the camp. The imprisoned upper-class officers have never had to do things for themselves, and now they are reduced to wearing rags while the King’s clean shirt, gained through guts and moxie, seems like luxury in comparison. In the camp, everything has its price and everything is for sale. But trading is illegal—and the King has made a formidable enemy. Robin Grey, the provost marshal, hates the King and all he represents. Grey, though he grew up modestly, fervently believes in the British class system: everyone should know their place, and he knows the King’s place is at the bottom. The King does have a friend in Peter Marlowe, who, though wary of the King and himself a product of the British system, finds himself drawn to the charismatic man who just might be the only one who can save them from both the inhumanity of the prison camp but also from themselves. Powerful and engrossing, King Rat artfully weaves the author’s own World War II prison camp experiences into a compelling narrative of survival amidst the grim realities of war and what men can do when pushed to the edge. A taut masterwork of World War II historical fiction by bestselling author James Clavell.",James Clavell,Blackstone Publishing,2018-09-18,Fiction,19.0
Helter Skelter,"THE BEST-SELLING TRUE CRIME BOOK IN HISTORY ______________________ The shocking true story of the Manson murders, revealed in this harrowing, often terrifying book. Helter Skelter won a Mystery Writers of America Edgar Award in 1975 for Best Fact Crime Book. On August 9th 1969, seven people were found shot, stabbed and bludgeoned to death in Los Angeles. America watched in fascinated horror as the killers were tried and convicted. But the real questions went unanswered. How did Manson make his 'family' kill for him? What made these young men and women kill again and again with no trace of remorse? Did the murders continue even after Manson's imprisonment? No matter how much you think you know about this case, this book will still shock you. For decades, this has been the definitive account of the Manson murders.","Vincent Bugliosi, Curt Gentry",Random House,2014-07-31,True Crime,80.0
Hard Times,"Considered Dickens' harshest indictment of mid-19th-century industrial practices and their dehumanizing effects, Hard Times offers a fascinating tapestry of Victorian life, filled with the richness of detail, brilliant characterization, and passionate social concern that typify the novelist's finest creations.",Charles Dickens,Lulu.com,2017-03-09,Fiction,64.0
Finnegans Wake,"A daring work of experimental, Modernist genius, James Joyce's Finnegans Wake is one of the greatest literary achievements of the twentieth century, and the crowning glory of Joyce's life. The Penguin Modern Classics edition of includes an introduction by Seamus Deane 'riverrun, past Eve and Adam's, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back to Howth Castle and Environs' Joyce's final work, Finnegan's Wake is his masterpiece of the night as Ulysses is of the day. Supreme linguistic virtuosity conjures up the dark underground worlds of sexuality and dream. Joyce undermines traditional storytelling and all official forms of English and confronts the different kinds of betrayal - cultural, political and sexual - that he saw at the heart of Irish history. Dazzlingly inventive, with passages of great lyrical beauty and humour, Finnegans Wake remains one of the most remarkable works of the twentieth century. James Joyce (1882-1941), the eldest of ten children, was born in Dublin, but exiled himself to Paris at twenty as a rebellion against his upbringing. He only returned to Ireland briefly from the continent but Dublin was at heart of his greatest works, Ulysses and Finnegans Wake. He lived in poverty until the last ten years of his life and was plagued by near blindness and the grief of his daughter's mental illness. If you enjoyed Finnegans Wake, you might like Virginia Woolf's The Waves, also available in Penguin Classics. 'An extraordinary performance, a transcription into a miniaturized form of the whole western literary tradition' Seamus Deane",James Joyce,Penguin UK,2015-06-25,Fiction,24.0
One Hundred Years of Solitude,The evolution and eventual decadence of a small South American town is mirrored in the family history of the Buendias.,Gabriel García Márquez,Everyman's Library,1995,Fiction,261.0
The Canterbury Tales,"In The Canterbury Tales Chaucer created one of the great touchstones of English literature, a masterly collection of chivalric romances, moral allegories and low farce. A story-telling competition between a group of pilgrims from all walks of life is the occasion for a series of tales that range from the Knight's account of courtly love and the ebullient Wife of Bath's Arthurian legend, to the ribald anecdotes of the Miller and the Cook.",Geoffrey Chaucer,Penguin UK,2012-02-02,Poetry,3.0
In the Heart of the Sea: The Tragedy of the Whaleship Essex,"Recounts the story of the 1820 wreck of the whaleship Essex, which inspired Melville's classic ""Moby-Dick,"" and describes its doomed crew's ninety-day attempt to survive whale attacks and the elements on three tiny lifeboats",Nathaniel Philbrick,Viking,2000-05-08,History,7.0
Lord of Light,"Earth is long since dead. On a colony planet, a band of men has gained control of technology, made themselves immortal, and now rules their world as the gods of the Hindu pantheon. Only one dares oppose them: he who was once Siddhartha and is now Mahasamatman. Binder of Demons. Lord of Light.",Roger Zelazny,Harper Collins,2004-05-11,Fiction,54.0
Winter Solstice,"In Winter Solstice Rosamunde Pilcher brings her readers into the lives of five very different people.... Elfrida Phipps, once of London's stage, moved to the English village of Dibton in hopes of making a new life for herself. Gradually she settled into the comfortable familiarity of village life -- shopkeepers knowing her tastes, neighbors calling her by name -- still she finds herself lonely. Oscar Blundell gave up his life as a musician in order to marry Gloria. They have a beautiful daughter, Francesca, and it is only because of their little girl that Oscar views his sacrificed career as worthwhile. Carrie returns from Austria at the end of an ill-fated affair with a married man to find her mother and aunt sharing a home and squabbling endlessly. With Christmas approaching, Carrie agrees to look after her aunt's awkward and quiet teenage daughter, Lucy, so that her mother might enjoy a romantic fling in America. Sam Howard is trying to pull his life back together after his wife has left him for another. He is without home and without roots, all he has is his job. Business takes him to northern Scotland, where he falls in love with the lush, craggy landscape and set his sights on a house. It is the strange rippling effects of a tragedy that will bring these five characters together in a large, neglected estate house near the Scottish fishing town of Creagan. It is in this house, on the shortest day of the year, that the lives of five people will come together and be forever changed. Rosamunde Pilcher's long-awaited return to the page will warm the hearts of readers both old and new. Winter Solstice is a novel of love, loyalty and rebirth.",Rosamunde Pilcher,Macmillan,2011-04-01,Fiction,3.0
