Title,Year,Age,IMDb,Rotten Tomatoes
Breaking Bad,2008,18+,9.4/10,100/100
Stranger Things,2016,16+,8.7/10,96/100
Attack on Titan,2013,18+,9.0/10,95/100
Better Call Saul,2015,18+,8.8/10,94/100
Dark,2017,16+,8.8/10,93/100
Avatar: The Last Airbender,2005,7+,9.3/10,93/100
Peaky Blinders,2013,18+,8.8/10,93/100
The Walking Dead,2010,18+,8.2/10,93/100
Black Mirror,2011,18+,8.8/10,92/100
The Queen's Gambit,2020,18+,8.6/10,92/100
Mindhunter,2017,18+,8.6/10,90/100
Community,2009,7+,8.5/10,90/100
Narcos,2015,18+,8.8/10,90/100
Shameless,2011,18+,8.5/10,90/100
Money Heist,2017,18+,8.3/10,90/100
Marvel's Daredevil,2015,18+,8.6/10,90/100
Lucifer,2016,16+,8.1/10,90/100
Supernatural,2005,16+,8.4/10,89/100
The Witcher,2019,18+,8.2/10,89/100
Ozark,2017,18+,8.4/10,89/100
The Crown,2016,18+,8.6/10,89/100
Cobra Kai,2018,16+,8.6/10,89/100
The Blacklist,2013,16+,8.0/10,88/100
The Flash,2014,16+,7.6/10,88/100
Outlander,2014,18+,8.4/10,88/100
Fullmetal Alchemist: Brotherhood,2009,16+,9.1/10,88/100
The Good Place,2016,16+,8.2/10,88/100
House of Cards,2013,18+,8.7/10,88/100
Atypical,2017,16+,8.3/10,88/100
Grey's Anatomy,2005,16+,7.5/10,87/100
Arrested Development,2003,16+,8.7/10,87/100
Lupin,2021,18+,7.5/10,87/100
The Umbrella Academy,2019,16+,8.0/10,87/100
Orange Is the New Black,2013,18+,8.0/10,87/100
The Vampire Diaries,2009,16+,7.7/10,86/100
Demon Slayer: Kimetsu no Yaiba,2019,18+,8.7/10,86/100
The Last Dance,2020,16+,9.1/10,86/100
American Horror Story,2011,18+,8.0/10,86/100
Elite,2018,18+,7.5/10,86/100
BoJack Horseman,2014,18+,8.7/10,86/100
Star Trek: The Next Generation,1987,7+,8.6/10,86/100
Broadchurch,2013,18+,8.4/10,86/100
The IT Crowd,2006,16+,8.5/10,86/100
When They See Us,2019,18+,8.9/10,86/100
"Love, Death & Robots",2019,18+,8.5/10,86/100
Schitt's Creek,2015,16+,8.5/10,86/100
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5/10,86/100
Never Have I Ever,2020,16+,7.9/10,86/100
The 100,2014,16+,7.6/10,86/100
American Crime Story,2016,18+,8.4/10,85/100
The Last Kingdom,2015,18+,8.4/10,85/100
The End of the F***ing World,2017,18+,8.1/10,85/100
New Girl,2011,16+,7.7/10,85/100
Penny Dreadful,2014,18+,8.2/10,85/100
One Piece,1999,7+,8.8/10,85/100
Marvel's The Punisher,2017,18+,8.5/10,85/100
Evil,2019,18+,7.7/10,85/100
YOU,2018,18+,7.7/10,85/100
Sense8,2015,18+,8.3/10,84/100
Making a Murderer,2015,16+,8.6/10,84/100
Unbelievable,2019,18+,8.4/10,84/100
Arrow,2012,16+,7.5/10,84/100
Sex Education,2019,18+,8.3/10,84/100
Marvel's Jessica Jones,2015,18+,7.9/10,84/100
Sweet Tooth,2021,16+,7.9/10,84/100
Good Girls,2018,16+,7.8/10,84/100
Death Note,2006,16+,9.0/10,84/100
Gilmore Girls,2000,16+,8.1/10,84/100
The Legend of Korra,2012,7+,8.4/10,83/100
How to Get Away with Murder,2014,16+,8.1/10,83/100
Master of None,2015,18+,8.3/10,83/100
Chappelle's Show,2003,18+,8.7/10,83/100
One-Punch Man,2015,7+,8.8/10,83/100
Downton Abbey,2010,16+,8.7/10,83/100
Gotham,2014,16+,7.8/10,83/100
Pose,2018,18+,8.6/10,83/100
Bodyguard,2018,18+,8.1/10,83/100
Altered Carbon,2018,18+,8.0/10,83/100
Ash vs Evil Dead,2015,18+,8.4/10,83/100
The Sinner,2017,16+,7.9/10,83/100
Our Planet,2019,all,9.3/10,82/100
Narcos: Mexico,2018,18+,8.4/10,82/100
Shadow and Bone,2021,16+,7.7/10,82/100
Castlevania,2017,18+,8.3/10,82/100
Star Trek,1966,7+,8.3/10,82/100
The Kominsky Method,2018,18+,8.2/10,82/100
Hunter x Hunter,2011,16+,9.0/10,82/100
Dead to Me,2019,18+,8.0/10,82/100
The Haunting of Hill House,2018,18+,8.6/10,82/100
Russian Doll,2019,18+,7.9/10,82/100
Kingdom,2019,18+,8.4/10,82/100
Neon Genesis Evangelion,1995,16+,8.5/10,82/100
Naruto,2002,7+,8.3/10,81/100
NCIS,2003,16+,7.7/10,81/100
Manifest,2018,16+,7.2/10,81/100
Halt and Catch Fire,2014,16+,8.4/10,81/100
Monty Python's Flying Circus,1969,16+,8.8/10,81/100
After Life,2019,18+,8.4/10,81/100
Riverdale,2017,16+,6.8/10,81/100
Big Mouth,2017,18+,7.9/10,81/100
I Think You Should Leave with Tim Robinson,2019,18+,7.8/10,81/100
Derry Girls,2018,16+,8.4/10,81/100
The Promised Neverland,2019,18+,8.5/10,81/100
Lost in Space,2018,7+,7.3/10,80/100
Star Trek: Deep Space Nine,1993,7+,8.0/10,80/100
Jane the Virgin,2014,16+,7.8/10,80/100
Godless,2017,18+,8.3/10,80/100
The OA,2016,18+,7.8/10,80/100
DC's Legends of Tomorrow,2016,16+,6.8/10,80/100
Sacred Games,2018,18+,8.6/10,80/100
iZombie,2015,16+,7.8/10,80/100
Longmire,2012,16+,8.3/10,80/100
Happy Endings,2011,16+,7.7/10,80/100
Into the Badlands,2015,16+,8.0/10,80/100
The Originals,2013,16+,8.2/10,80/100
Anne with an E,2017,all,8.7/10,80/100
Grace and Frankie,2015,18+,8.3/10,80/100
Chilling Adventures of Sabrina,2018,16+,7.5/10,80/100
Queen of the South,2016,16+,8.0/10,79/100
A Series of Unfortunate Events,2017,7+,7.8/10,79/100
Bridgerton,2020,,7.3/10,79/100
Unorthodox,2020,18+,8.0/10,79/100
Stargate SG-1,1997,13+,8.4/10,79/100
Outer Banks,2020,18+,7.6/10,79/100
13 Reasons Why,2017,18+,7.6/10,79/100
Unbreakable Kimmy Schmidt,2015,16+,7.6/10,79/100
Marvel's Luke Cage,2016,18+,7.3/10,79/100
GLOW,2017,18+,8.0/10,79/100
Borgen,2010,18+,8.5/10,79/100
The 4400,2004,7+,7.3/10,79/100
Alias Grace,2017,18+,7.7/10,79/100
All American,2018,16+,7.7/10,79/100
Santa Clarita Diet,2017,18+,7.8/10,79/100
Reign,2013,16+,7.5/10,78/100
Maniac,2018,18+,7.8/10,78/100
Dark Matter,2015,18+,7.5/10,78/100
Star Trek: Voyager,1995,7+,7.8/10,78/100
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.6/10,78/100
Call the Midwife,2012,16+,8.4/10,78/100
Queer Eye,2018,16+,8.5/10,78/100
American Vandal,2017,16+,8.2/10,78/100
Wynonna Earp,2016,16+,7.5/10,78/100
Marvel's The Defenders,2017,18+,7.3/10,78/100
HAPPY!,2017,18+,8.2/10,77/100
Haikyu!!,2014,16+,8.7/10,77/100
Colony,2016,16+,7.4/10,77/100
Heartland,2007,7+,8.4/10,77/100
